percentile,personal_income
1,0
2,0
3,52
4,1040
5,2200
6,3510
7,4990
8,6000
9,7171
10,8500
11,10000
12,10703
13,12000
14,13000
15,14311
16,15001
17,16000
18,17020
19,18010
20,19404
21,20000
22,20104
23,21306
24,22400
25,23357
26,24003
27,25000
28,25050
29,26002
30,27003
31,28000
32,29000
33,30000
34,30000
35,30199
36,31385
37,32111
38,33300
39,34830
40,35000
41,35700
42,36400
43,37671
44,38879
45,40000
46,40001
47,40600
48,42000
49,43000
50,44225
51,45001
52,46000
53,47200
54,48473
55,50000
56,50002
57,50402
58,51850
59,52700
60,54100
61,55028
62,56206
63,58002
64,60000
65,60010
66,61000
67,62601
68,64886
69,65400
70,67402
71,69887
72,70213
73,72281
74,75000
75,75815
76,78152
77,80011
78,82008
79,85001
80,87600
81,90055
82,93200
83,97027
84,100012
85,102200
86,107000
87,111300
88,118000
89,122485
90,129181
91,136000
92,145025
93,151660
94,160512
95,175300
96,196006
97,220005
98,259608
99,357552